match,rival,date,season_order,player,jersey,position,shot_type,situation,body_part,xg,xgot,minute,added,goal_mouth,pitch_x,pitch_y,era
Neftchi - Samaxi (16.08),Samaxi,16.08,816,A. Salyanskiy,19,F,save,regular,head,0.1601,0.1275,89,0,low-centre,31.96,5.775,before
Neftchi - Samaxi (16.08),Samaxi,16.08,816,L. Ortiz,15,M,block,regular,right-foot,0.003699,,78,0,low-centre,20.4,9.45,before
Neftchi - Samaxi (16.08),Samaxi,16.08,816,F. Vargas,10,M,block,regular,left-foot,0.02022,,88,0,low-centre,47.6,9.45,before
Neftchi - Samaxi (16.08),Samaxi,16.08,816,L. Ortiz,15,M,save,regular,left-foot,0.1006,0.3084,89,0,high-right,40.8,4.2,before
Neftchi - Samaxi (16.08),Samaxi,16.08,816,J. Rezabala,23,M,miss,regular,left-foot,0.0197,,74,0,close-left,47.6,8.925,before
Neftchi - Samaxi (16.08),Samaxi,16.08,816,B. Sambou,9,F,miss,regular,right-foot,0.02358,,53,0,close-high-right,47.6,6.3,before
Neftchi - Samaxi (16.08),Samaxi,16.08,816,J. Rezabala,23,M,post,throw-in-set-piece,left-foot,0.05089,,64,0,left,40.8,8.4,before
Neftchi - Samaxi (16.08),Samaxi,16.08,816,J. Rezabala,23,M,block,regular,left-foot,0.02681,,71,0,low-centre,40.8,12.6,before
Neftchi - Samaxi (16.08),Samaxi,16.08,816,E. Makhmudov,8,M,block,regular,left-foot,0.3932,,43,0,low-centre,36.72,4.725,before
Neftchi - Samaxi (16.08),Samaxi,16.08,816,M. Seck,24,D,miss,regular,right-foot,0.247,,19,0,close-high-right,40.8,5.775,before
Neftchi - Samaxi (16.08),Samaxi,16.08,816,E. Makhmudov,8,M,miss,set-piece,right-foot,0.008162,,15,0,close-high-right,48.96,4.725,before
Neftchi - Samaxi (16.08),Samaxi,16.08,816,E. Makhmudov,8,M,goal,penalty,right-foot,0.76,0.81,45,2,low-left,34.0,5.25,before
Neftchi - Samaxi (16.08),Samaxi,16.08,816,C. Costin,27,D,miss,regular,right-foot,0.03051,,14,0,close-left,46.24,12.075,before
Neftchi - Samaxi (16.08),Samaxi,16.08,816,B. Sambou,9,F,miss,regular,head,0.07746,,4,0,close-left,36.72,4.2,before
Neftchi - Samaxi (16.08),Samaxi,16.08,816,B. Sambou,9,F,miss,regular,right-foot,0.06538,,7,0,close-left,28.56,12.075,before
Neftchi - Samaxi (16.08),Samaxi,16.08,816,E. Makhmudov,8,M,miss,regular,left-foot,0.003191,,9,0,close-left,18.36,6.3,before
Imisli - Neftchi (22.08),Imisli,22.08,822,E. Safarov,7,M,block,regular,left-foot,0.01342,,79,0,low-centre,22.44,9.45,before
Imisli - Neftchi (22.08),Imisli,22.08,822,B. Sambou,9,F,save,regular,head,0.1085,0.07546,56,0,high-centre,33.32,5.775,before
Imisli - Neftchi (22.08),Imisli,22.08,822,I. Faraj,11,M,save,regular,head,0.2555,0.3093,58,0,high-centre,34.68,2.625,before
Imisli - Neftchi (22.08),Imisli,22.08,822,M. Seck,24,D,block,regular,left-foot,0.006244,,14,0,low-centre,16.32,11.55,before
Imisli - Neftchi (22.08),Imisli,22.08,822,I. Faraj,11,M,block,set-piece,right-foot,0.00314,,15,0,low-centre,46.24,9.975,before
Imisli - Neftchi (22.08),Imisli,22.08,822,E. Makhmudov,8,M,save,free-kick,right-foot,0.1111,0.0257,18,0,low-centre,20.4,10.5,before
Imisli - Neftchi (22.08),Imisli,22.08,822,F. Vargas,10,M,save,regular,right-foot,0.01511,0.01067,39,0,high-centre,40.8,13.125,before
Imisli - Neftchi (22.08),Imisli,22.08,822,F. Vargas,10,M,save,regular,head,0.07175,0.04731,44,0,low-centre,42.16,5.25,before
Imisli - Neftchi (22.08),Imisli,22.08,822,E. Makhmudov,8,M,miss,regular,right-foot,0.07346,,47,0,close-high-right,20.4,6.825,before
Imisli - Neftchi (22.08),Imisli,22.08,822,Igor,4,D,miss,regular,left-foot,0.01417,,65,0,close-right,15.64,15.75,before
Imisli - Neftchi (22.08),Imisli,22.08,822,B. Sambou,9,F,save,regular,left-foot,0.2538,0.2791,72,0,low-centre,31.28,6.3,before
Imisli - Neftchi (22.08),Imisli,22.08,822,F. Vargas,10,M,block,regular,right-foot,0.0184,,61,0,low-centre,21.08,14.175,before
Imisli - Neftchi (22.08),Imisli,22.08,822,B. Sambou,9,F,miss,regular,head,0.05921,,62,0,close-right,34.0,6.3,before
Imisli - Neftchi (22.08),Imisli,22.08,822,B. Sambou,9,F,miss,regular,right-foot,0.521,,72,0,close-high-right,31.28,4.725,before
Imisli - Neftchi (22.08),Imisli,22.08,822,E. Safarov,7,M,save,regular,right-foot,0.0279,0.0102,88,0,low-centre,24.48,14.7,before
Neftchi - Turan_Tovuz (29.08),Turan_Tovuz,29.08,829,E. Makhmudov,8,M,save,free-kick,right-foot,0.07949,0.02186,84,0,high-centre,4.76,8.4,before
Neftchi - Turan_Tovuz (29.08),Turan_Tovuz,29.08,829,L. Ortiz,15,M,block,corner,left-foot,0.03856,,90,2,low-centre,34.0,8.925,before
Neftchi - Turan_Tovuz (29.08),Turan_Tovuz,29.08,829,E. Camalov,4,M,save,regular,right-foot,0.03341,0.2303,30,0,low-left,34.0,12.075,before
Neftchi - Turan_Tovuz (29.08),Turan_Tovuz,29.08,829,F. Vargas,10,M,miss,regular,right-foot,0.01943,,14,0,close-left,23.8,10.5,before
Neftchi - Turan_Tovuz (29.08),Turan_Tovuz,29.08,829,J. Rezabala,23,M,save,free-kick,left-foot,0.08352,0.01201,24,0,high-centre,57.8,6.825,before
Neftchi - Turan_Tovuz (29.08),Turan_Tovuz,29.08,829,I. Faraj,11,M,save,regular,head,0.0861,0.1798,45,1,low-centre,34.0,4.2,before
Neftchi - Turan_Tovuz (29.08),Turan_Tovuz,29.08,829,M. Seck,24,D,save,regular,right-foot,0.05367,0.05033,35,0,low-centre,31.28,9.45,before
Neftchi - Turan_Tovuz (29.08),Turan_Tovuz,29.08,829,A. Curci,28,M,block,corner,right-foot,0.5162,,90,2,low-centre,35.36,2.625,before
Neftchi - Sabah (14.09),Sabah,14.09,914,F. Vargas,10,M,miss,regular,left-foot,0.2352,,53,0,close-high-left,31.28,6.3,before
Neftchi - Sabah (14.09),Sabah,14.09,914,J. Rezabala,23,M,miss,regular,left-foot,0.05474,,70,0,close-high-right,30.6,7.35,before
Neftchi - Sabah (14.09),Sabah,14.09,914,J. Rezabala,23,M,miss,regular,left-foot,0.1261,,76,0,close-left,26.52,5.25,before
Neftchi - Sabah (14.09),Sabah,14.09,914,L. Ortiz,15,M,miss,regular,left-foot,0.059,,82,0,close-right,19.72,5.775,before
Neftchi - Sabah (14.09),Sabah,14.09,914,J. Rezabala,23,M,miss,regular,left-foot,0.0009398,,69,0,close-high-left,48.96,11.55,before
Neftchi - Sabah (14.09),Sabah,14.09,914,M. Seck,24,D,save,regular,right-foot,0.01858,0.02757,90,3,high-centre,10.88,12.6,before
Neftchi - Sabah (14.09),Sabah,14.09,914,E. Makhmudov,8,M,miss,regular,right-foot,0.03633,,14,0,close-high-left,42.16,11.025,before
Neftchi - Sabah (14.09),Sabah,14.09,914,E. Makhmudov,8,M,block,regular,right-foot,0.1617,,30,0,low-centre,34.68,7.35,before
Neftchi - Sabah (14.09),Sabah,14.09,914,F. Sacko,77,D,miss,throw-in-set-piece,right-foot,0.001162,,38,0,close-high-right,46.92,11.55,before
Neftchi - Sabah (14.09),Sabah,14.09,914,I. Faraj,11,M,miss,regular,left-foot,0.06451,,25,0,close-left,46.92,6.825,before
Neftchi - Sabah (14.09),Sabah,14.09,914,E. Makhmudov,8,M,save,free-kick,right-foot,0.05217,0.04115,7,0,high-centre,36.04,14.7,before
Sumqayit - Neftchi (21.09),Sumqayit,21.09,921,B. Sambou,9,F,miss,regular,left-foot,0.1563,,58,0,close-high,25.16,6.825,before
Sumqayit - Neftchi (21.09),Sumqayit,21.09,921,S. D'almeida,6,M,block,set-piece,right-foot,0.02978,,66,0,low-centre,38.76,6.825,before
Sumqayit - Neftchi (21.09),Sumqayit,21.09,921,A. Salyanskiy,19,F,goal,regular,right-foot,0.7151,0.8203,79,0,low-centre,36.72,1.05,before
Sumqayit - Neftchi (21.09),Sumqayit,21.09,921,J. Rezabala,23,M,save,regular,left-foot,0.02256,0.1618,45,0,high-left,19.72,13.125,before
Sumqayit - Neftchi (21.09),Sumqayit,21.09,921,I. Faraj,11,M,save,regular,right-foot,0.06589,0.2823,25,0,low-left,23.8,8.4,before
Sumqayit - Neftchi (21.09),Sumqayit,21.09,921,F. Vargas,10,M,block,regular,left-foot,0.01832,,29,0,low-centre,39.44,11.025,before
Sumqayit - Neftchi (21.09),Sumqayit,21.09,921,M. Khachayev,17,D,miss,corner,right-foot,0.004595,,44,0,close-high-right,18.36,12.075,before
Sumqayit - Neftchi (21.09),Sumqayit,21.09,921,F. Vargas,10,M,save,regular,right-foot,0.351,0.456,71,0,low-left,28.56,1.05,before
Sumqayit - Neftchi (21.09),Sumqayit,21.09,921,F. Vargas,10,M,miss,corner,head,0.01654,,72,0,close-high-left,40.12,5.25,before
Sumqayit - Neftchi (21.09),Sumqayit,21.09,921,F. Vargas,10,M,miss,regular,head,0.02672,,77,0,close-left,39.44,4.2,before
Sumqayit - Neftchi (21.09),Sumqayit,21.09,921,L. Ortiz,15,M,save,regular,head,0.09997,0.07865,66,0,low-centre,40.8,3.675,before
Sumqayit - Neftchi (21.09),Sumqayit,21.09,921,E. Badalov,15,D,miss,corner,right-foot,0.2762,,23,0,close-right,39.44,2.1,before
Sumqayit - Neftchi (21.09),Sumqayit,21.09,921,A. Curci,28,M,goal,regular,right-foot,0.3123,0.8123,90,2,low-left,41.48,5.25,before
Sumqayit - Neftchi (21.09),Sumqayit,21.09,921,F. Vargas,10,M,miss,regular,right-foot,0.008585,,86,0,close-left,52.36,5.775,before
Sumqayit - Neftchi (21.09),Sumqayit,21.09,921,S. D'almeida,6,M,save,regular,right-foot,0.01038,0.05796,16,0,low-left,23.8,17.85,before
Sumqayit - Neftchi (21.09),Sumqayit,21.09,921,I. Faraj,11,M,block,regular,left-foot,0.09433,,14,0,low-centre,42.16,7.35,before
Neftchi - Karvan (27.09),Karvan,27.09,927,F. Vargas,10,M,save,regular,head,0.09783,0.09858,74,0,low-centre,29.24,4.2,before
Neftchi - Karvan (27.09),Karvan,27.09,927,J. Rezabala,23,M,block,throw-in-set-piece,right-foot,0.005063,,88,0,low-centre,38.76,7.875,before
Neftchi - Karvan (27.09),Karvan,27.09,927,A. Curci,28,M,miss,corner,left-foot,0.01203,,89,0,close-high-left,21.08,6.825,before
Neftchi - Karvan (27.09),Karvan,27.09,927,J. Rezabala,23,M,save,regular,left-foot,0.01261,0.1828,89,0,high-left,16.32,16.275,before
Neftchi - Karvan (27.09),Karvan,27.09,927,B. Sambou,9,F,miss,regular,right-foot,0.0419,,34,0,close-high-left,32.64,5.775,before
Neftchi - Karvan (27.09),Karvan,27.09,927,M. Seck,24,D,miss,regular,left-foot,0.007393,,27,0,close-high,23.12,13.125,before
Neftchi - Karvan (27.09),Karvan,27.09,927,M. Khachayev,17,D,post,regular,left-foot,0.004855,,43,0,high,22.44,12.075,before
Neftchi - Karvan (27.09),Karvan,27.09,927,F. Sacko,77,D,save,regular,right-foot,0.06204,0.0688,43,0,high-centre,47.6,4.725,before
Neftchi - Karvan (27.09),Karvan,27.09,927,F. Vargas,10,M,save,regular,left-foot,0.1293,0.224,70,0,low-centre,34.0,6.3,before
Neftchi - Karvan (27.09),Karvan,27.09,927,J. Rezabala,23,M,save,throw-in-set-piece,head,0.1934,0.4259,71,0,high-centre,29.24,2.625,before
Neftchi - Karvan (27.09),Karvan,27.09,927,S. D'almeida,6,M,save,corner,right-foot,0.04323,0.1097,44,0,low-centre,34.68,6.825,before
Neftchi - Karvan (27.09),Karvan,27.09,927,E. Makhmudov,8,M,miss,regular,right-foot,0.01898,,59,0,close-high,17.68,12.6,before
Neftchi - Karvan (27.09),Karvan,27.09,927,F. Vargas,10,M,save,regular,right-foot,0.005831,0.146,36,0,low-right,32.64,11.55,before
Neftchi - Karvan (27.09),Karvan,27.09,927,I. Faraj,11,M,save,regular,right-foot,0.03128,0.05414,36,0,low-right,46.92,3.675,before
Zira - Neftchi (03.10),Zira,03.10,1003,F. Vargas,10,M,save,regular,right-foot,0.1305,0.05637,7,0,low-centre,25.84,8.4,before
Zira - Neftchi (03.10),Zira,03.10,1003,J. Rezabala,23,M,block,corner,left-foot,0.1138,,90,13,low-centre,28.56,6.825,before
Zira - Neftchi (03.10),Zira,03.10,1003,J. Rezabala,23,M,save,free-kick,left-foot,0.1492,0.1541,90,13,high-left,23.12,11.55,before
Zira - Neftchi (03.10),Zira,03.10,1003,F. Vargas,10,M,goal,regular,right-foot,0.3074,0.773,66,0,low-right,30.6,4.2,before
Zira - Neftchi (03.10),Zira,03.10,1003,B. Sambou,9,F,goal,regular,right-foot,0.2334,0.5041,87,0,low-left,26.52,5.25,before
Zira - Neftchi (03.10),Zira,03.10,1003,E. Badalov,15,D,miss,corner,head,0.05526,,20,0,close-high-right,26.52,7.35,before
Neftchi - Araz (19.10),Araz,19.10,1019,B. Sambou,9,F,save,corner,right-foot,0.2187,0.2568,16,0,low-centre,34.68,6.3,before
Neftchi - Araz (19.10),Araz,19.10,1019,F. Vargas,10,M,save,corner,head,0.06923,0.02446,18,0,low-centre,26.52,7.35,before
Neftchi - Araz (19.10),Araz,19.10,1019,L. Ortiz,15,M,miss,regular,left-foot,0.1319,,79,0,close-right,26.52,9.975,before
Neftchi - Araz (19.10),Araz,19.10,1019,E. Makhmudov,8,M,goal,regular,head,0.3016,0.7944,56,0,low-right,27.2,5.25,before
Neftchi - Araz (19.10),Araz,19.10,1019,B. Sambou,9,F,miss,regular,head,0.1051,,3,0,close-high-left,25.84,5.25,before
Neftchi - Araz (19.10),Araz,19.10,1019,J. Rezabala,23,M,save,regular,left-foot,0.06891,0.1559,11,0,low-right,45.56,10.5,before
Neftchi - Araz (19.10),Araz,19.10,1019,B. Sambou,9,F,miss,regular,head,0.101,,28,0,close-high,32.64,5.775,before
Neftchi - Araz (19.10),Araz,19.10,1019,Igor,4,D,block,set-piece,right-foot,0.01169,,90,9,low-centre,24.48,7.35,before
Neftchi - Araz (19.10),Araz,19.10,1019,L. Ortiz,15,M,post,regular,left-foot,0.0494,,83,0,right,22.44,2.625,before
Neftchi - Araz (19.10),Araz,19.10,1019,I. Faraj,11,M,block,regular,right-foot,0.1799,,83,0,low-centre,48.28,5.775,before
Neftchi - Araz (19.10),Araz,19.10,1019,S. D'almeida,6,M,miss,regular,right-foot,0.03167,,56,0,close-left,26.52,12.6,before
Neftchi - Araz (19.10),Araz,19.10,1019,M. Seck,24,D,miss,regular,left-foot,0.01282,,53,0,close-right,22.44,11.025,before
Neftchi - Araz (19.10),Araz,19.10,1019,S. D'almeida,6,M,miss,regular,right-foot,0.04295,,24,0,close-left,23.12,12.6,before
Neftchi - Araz (19.10),Araz,19.10,1019,B. Sambou,9,F,goal,regular,left-foot,0.344,0.8205,19,0,low-left,34.68,4.725,before
Gabala - Neftchi (26.10),Gabala,26.10,1026,E. Makhmudov,8,M,miss,throw-in-set-piece,right-foot,0.03848,,58,0,close-high,41.48,6.825,with
Gabala - Neftchi (26.10),Gabala,26.10,1026,A. Curci,28,M,miss,regular,left-foot,0.3628,,84,0,close-right,26.52,7.875,with
Gabala - Neftchi (26.10),Gabala,26.10,1026,V. Aboubakar,45,F,goal,regular,right-foot,0.4206,0.5773,81,0,low-centre,34.0,4.2,with
Gabala - Neftchi (26.10),Gabala,26.10,1026,M. Ifeanyi,18,M,goal,regular,right-foot,0.1068,0.4441,71,0,low-left,41.48,8.925,with
Gabala - Neftchi (26.10),Gabala,26.10,1026,B. Sambou,9,F,miss,regular,head,0.2962,,3,0,close-high-right,37.4,3.675,with
Gabala - Neftchi (26.10),Gabala,26.10,1026,B. Sambou,9,F,miss,corner,head,0.3246,,62,0,close-left,33.32,1.575,with
Gabala - Neftchi (26.10),Gabala,26.10,1026,I. Faraj,11,M,block,regular,left-foot,0.05476,,56,0,low-centre,48.28,5.775,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,M. Mammadov,47,F,save,regular,left-foot,0.03697,0.01065,83,0,low-centre,50.32,7.35,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,J. Rezabala,23,M,block,regular,left-foot,0.02759,,60,0,low-centre,46.24,6.825,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,E. Makhmudov,8,M,miss,free-kick,right-foot,0.0003483,,50,0,close-high-left,19.04,12.6,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,V. Aboubakar,45,F,save,corner,head,0.1455,0.587,45,2,high-left,31.96,4.725,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,B. Sambou,9,F,goal,regular,right-foot,0.1998,0.5105,74,0,low-left,29.24,6.825,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,B. Sambou,9,F,goal,regular,right-foot,0.1805,0.6717,86,0,low-left,42.84,5.25,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,F. Vargas,10,M,goal,regular,left-foot,0.3705,0.3882,90,1,low-centre,36.72,5.775,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,B. Sambou,9,F,save,regular,head,0.06726,0.1801,73,0,high-centre,38.76,4.2,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,I. Faraj,11,M,save,regular,right-foot,0.1628,0.153,64,0,high-centre,33.32,9.45,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,V. Aboubakar,45,F,block,regular,right-foot,0.3384,,10,0,low-centre,27.88,5.775,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,V. Aboubakar,45,F,block,regular,right-foot,0.1381,,32,0,low-centre,36.72,7.35,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,V. Aboubakar,45,F,miss,regular,head,0.1076,,27,0,close-high-right,41.48,4.725,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,V. Aboubakar,45,F,goal,corner,right-foot,0.7458,0.9024,23,0,low-right,36.04,2.1,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,M. Ifeanyi,18,M,miss,regular,left-foot,0.1732,,10,0,close-high-left,29.92,10.5,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,E. Makhmudov,8,M,goal,penalty,right-foot,0.76,0.81,19,0,low-left,34.0,5.25,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,V. Aboubakar,45,F,save,corner,right-foot,0.3403,0.3308,23,0,high-centre,33.32,3.675,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,V. Aboubakar,45,F,miss,corner,left-foot,0.2354,,33,0,close-high,30.6,5.25,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,F. Vargas,10,M,block,regular,right-foot,0.01668,,45,2,low-centre,34.68,7.35,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,F. Vargas,10,M,block,regular,right-foot,0.1929,,10,0,low-centre,36.72,6.3,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,J. Rezabala,23,M,miss,corner,left-foot,0.001077,,45,4,close-high-left,45.56,12.075,with
Qarabag - Neftchi (09.11),Qarabag,09.11,1109,S. D'almeida,6,M,save,set-piece,right-foot,0.1585,0.1678,76,0,low-centre,28.56,6.3,with
Qarabag - Neftchi (09.11),Qarabag,09.11,1109,F. Vargas,10,M,save,regular,right-foot,0.08606,0.4471,68,0,low-left,38.76,9.975,with
Qarabag - Neftchi (09.11),Qarabag,09.11,1109,V. Aboubakar,45,F,miss,set-piece,right-foot,0.01783,,45,1,close-high,25.16,6.3,with
Qarabag - Neftchi (09.11),Qarabag,09.11,1109,M. Ifeanyi,18,M,miss,regular,right-foot,0.1241,,41,0,close-high-right,32.64,9.45,with
Qarabag - Neftchi (09.11),Qarabag,09.11,1109,F. Vargas,10,M,save,regular,left-foot,0.1538,0.3979,86,0,low-right,36.72,9.45,with
Qarabag - Neftchi (09.11),Qarabag,09.11,1109,F. Vargas,10,M,miss,regular,right-foot,0.0009038,,28,0,close-high-right,25.16,13.65,with
Qarabag - Neftchi (09.11),Qarabag,09.11,1109,S. D'almeida,6,M,miss,corner,right-foot,0.008789,,13,0,close-high-right,31.96,9.975,with
Qarabag - Neftchi (09.11),Qarabag,09.11,1109,E. Badalov,15,D,save,corner,head,0.07034,0.05176,23,0,low-centre,27.88,4.2,with
Qarabag - Neftchi (09.11),Qarabag,09.11,1109,V. Aboubakar,45,F,miss,regular,right-foot,0.05399,,25,0,close-right,45.56,1.05,with
Neftchi - Imisli (23.11),Imisli,23.11,1123,L. Ortiz,15,M,save,regular,left-foot,0.09954,0.0657,79,0,high-centre,24.48,5.775,with
Neftchi - Imisli (23.11),Imisli,23.11,1123,L. Ortiz,15,M,miss,regular,left-foot,0.02351,,75,0,close-right,18.36,12.6,with
Neftchi - Imisli (23.11),Imisli,23.11,1123,I. Faraj,11,M,save,regular,right-foot,0.02041,0.04393,51,0,low-left,15.64,13.65,with
Neftchi - Imisli (23.11),Imisli,23.11,1123,E. Makhmudov,8,M,miss,regular,left-foot,0.4519,,45,1,close-right,28.56,3.15,with
Neftchi - Imisli (23.11),Imisli,23.11,1123,J. Rezabala,23,M,miss,regular,left-foot,0.05043,,4,0,close-right,39.44,13.125,with
Neftchi - Imisli (23.11),Imisli,23.11,1123,V. Aboubakar,45,F,goal,penalty,right-foot,0.76,0.81,11,0,low-right,34.0,5.25,with
